Index,Category,Question,Options,Correct Answer
59,sc,"Is the lock locked to the chain-linked fence?",(a) Yes (b) No,(a)
60,sc,"Is the lock locked to the chain-linked fence?",(a) Yes (b) No,(b)
61,tx,"Can you see letter "J" in the image?",(a) Yes (b) No,(a)
62,tx,"Can you see letter "J" in the image?",(a) Yes (b) No,(b)
63,pr,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.",(a) Correct (b) Incorrect,(a)
64,pr,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.",(a) Correct (b) Incorrect,(b)
65,tx,"Is the following statement correct: There is no letter D on this image.",(a) Correct (b) Incorrect,(a)
66,tx,"Is the following statement correct: There is no letter D on this image.",(a) Correct (b) Incorrect,(b)
67,pf,"Are there any clouds?",(a) Yes (b) No,(a)
68,pf,"Are there any clouds?",(a) Yes (b) No,(b)
69,sc,"Did the snake stick out its tongue and touch its skin?",(a) Yes (b) No,(a)
70,sc,"Did the snake stick out its tongue and touch its skin?",(a) Yes (b) No,(b)
71,sc,"Is the lock locked or unlocked?",(a) Locked (b) Unlocked,(a)
72,sc,"Is the lock locked or unlocked?",(a) Locked (b) Unlocked,(b)
73,sc,"Is the ground wet?",(a) Yes (b) No,(a)
74,sc,"Is the ground wet?",(a) Yes (b) No,(b)
75,vp,"Do you see this flower from the top or the side?",(a) Top (b) Side,(a)
76,vp,"Do you see this flower from the top or the side?",(a) Top (b) Side,(b)
77,pf,"Can you see the caudal fin of the shark in the image?",(a) Yes (b) No,(a)
78,pf,"Can you see the caudal fin of the shark in the image?",(a) Yes (b) No,(b)
79,od,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(a)
80,od,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(b)
81,ca,"Is this a hammerhead shark?",(a) Yes (b) No,(a)
82,ca,"Is this a hammerhead shark?",(a) Yes (b) No,(b)
83,sc,"Is the door of the truck cab open?",(a) Yes (b) No,(a)
84,sc,"Is the door of the truck cab open?",(a) Yes (b) No,(b)
85,sh,"Are the ears of the dog erect or drooping?",(a) Erect (b) Drooping,(a)
86,sh,"Are the ears of the dog erect or drooping?",(a) Erect (b) Drooping,(b)
87,pf,"Is there a hand using the mouse in the image?",(a) Yes (b) No,(a)
88,pf,"Is there a hand using the mouse in the image?",(a) Yes (b) No,(b)
89,pf,"Can you see people in this image?",(a) Yes (b) No,(a)
90,pf,"Can you see people in this image?",(a) Yes (b) No,(b)
91,tx,"Are there any words displayed on the vehicle's lightbar?",(a) Yes (b) No,(a)
92,tx,"Are there any words displayed on the vehicle's lightbar?",(a) Yes (b) No,(b)
93,pf,"Is there any accessory on the wrists?",(a) Yes (b) No,(a)
94,pf,"Is there any accessory on the wrists?",(a) Yes (b) No,(b)
95,pr,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(a)
96,pr,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(b)
97,pf,"Does the keyboard have a backlight?",(a) Yes (b) No,(a)
98,pf,"Does the keyboard have a backlight?",(a) Yes (b) No,(b)
99,sh,"Does the elephant have long or short tusks?",(a) Long (b) Short,(a)
100,sh,"Does the elephant have long or short tusks?",(a) Long (b) Short,(b)
101,sc,"What is the woman more likely to do?",(a) Bump (b) Set,(a)
102,sc,"What is the woman more likely to do?",(a) Bump (b) Set,(b)
103,od,"Is the needle pointing up or down?",(a) Up (b) Down,(a)
104,od,"Is the needle pointing up or down?",(a) Up (b) Down,(b)
105,vp,"Is the camera positioned at eye level or looking down from above?",(a) Eye level (b) Above,(a)
106,vp,"Is the camera positioned at eye level or looking down from above?",(a) Eye level (b) Above,(b)
107,pf,"Are the butterfly's feet visible?",(a) Yes (b) No,(a)
108,pf,"Are the butterfly's feet visible?",(a) Yes (b) No,(b)
109,sc,"Are the bird's wings flapping upward or downward?",(a) Upward (b) Downward,(a)
110,sc,"Are the bird's wings flapping upward or downward?",(a) Upward (b) Downward,(b)
111,od,"Is the end of the elephant's trunk pointing inward or outward?",(a) Inward (b) Outward,(a)
112,od,"Is the end of the elephant's trunk pointing inward or outward?",(a) Inward (b) Outward,(b)
113,pf,"Do you see any window in this image?",(a) Yes (b) No,(a)
114,pf,"Do you see any window in this image?",(a) Yes (b) No,(b)
115,od,"Is the snail in the picture facing the camera or away from the camera?",(a) Away from the camera (b) Facing the camera ,(a)
116,od,"Is the snail in the picture facing the camera or away from the camera?",(a) Away from the camera (b) Facing the camera ,(b)
117,qc,"How many eyes of the cat can you see in the picture?",(a) 1 (b) 2,(a)
118,qc,"How many eyes of the cat can you see in the picture?",(a) 1 (b) 2,(b)
119,qc,"In this image, how many eyes can you see on the animal?",(a) 1 (b) 2,(a)
120,qc,"In this image, how many eyes can you see on the animal?",(a) 1 (b) 2,(b)
121,ca,"Does this corn have white kernels?",(a) Yes (b) No,(a)
122,ca,"Does this corn have white kernels?",(a) Yes (b) No,(b)
123,vp,"Is this duck facing left or right from the camera's perspective?",(a) Left (b) Right,(a)
124,vp,"Is this duck facing left or right from the camera's perspective?",(a) Left (b) Right,(b)
125,pf,"Can you see a door in this image?",(a) Yes (b) No,(a)
126,pf,"Can you see a door in this image?",(a) Yes (b) No,(b)
127,sc,"Is the flower's center protruding or indented?",(a) Protruding (b) Indented,(a)
128,sc,"Is the flower's center protruding or indented?",(a) Protruding (b) Indented,(b)
129,od,"From the camera's perspective, are the words "SCHOOL BUS" in the picture facing straight or oriented at an angle?",(a) Directly towards the camera (b) At an angle,(a)
130,od,"From the camera's perspective, are the words "SCHOOL BUS" in the picture facing straight or oriented at an angle?",(a) Directly towards the camera (b) At an angle,(b)
131,pr,"Where is the yellow animal's head lying in this image?",(a) Floor (b) Carpet,(a)
132,pr,"Where is the yellow animal's head lying in this image?",(a) Floor (b) Carpet,(b)
133,tx,"What does the center button say?",(a) OK/SELECT (b) OK,(a)
134,tx,"What does the center button say?",(a) OK/SELECT (b) OK,(b)
135,qc,"How many cup(s) of drink are there in the image?",(a) 1 (b) 2,(a)
136,qc,"How many cup(s) of drink are there in the image?",(a) 1 (b) 2,(b)
137,sc,"In the picture, how is the snake primarily positioned?",(a) Coiled (b) Head extended,(a)
138,sc,"In the picture, how is the snake primarily positioned?",(a) Coiled (b) Head extended,(b)
139,pf,"Can you see the side windows of the vehicles?",(a) Yes (b) No,(a)
140,pf,"Can you see the side windows of the vehicles?",(a) Yes (b) No,(b)
141,sc,"Is the elephant's trunk raised or lowered?",(a) Raised (b) Lowered,(a)
142,sc,"Is the elephant's trunk raised or lowered?",(a) Raised (b) Lowered,(b)
143,od,"Is the ladybug positioned upright or upside down?",(a) Upright (b) Upside down,(a)
144,od,"Is the ladybug positioned upright or upside down?",(a) Upright (b) Upside down,(b)
145,vp,"Is the photo taken looking down from above or looking up from below?",(a) Looking down from above (b) Looking up from below,(a)
146,vp,"Is the photo taken looking down from above or looking up from below?",(a) Looking down from above (b) Looking up from below,(b)
147,pf,"In the picture, is the snake's head visible or not visible?",(a) Visible (b) Not visible,(a)
148,pf,"In the picture, is the snake's head visible or not visible?",(a) Visible (b) Not visible,(b)
149,pr,"Is the piano's back panel on the left or right side?",(a) Left (b) Right,(a)
150,pr,"Is the piano's back panel on the left or right side?",(a) Left (b) Right,(b)
151,vp,"The image captures a woman running from:",(a) Back view (b) Side view,(a)
152,vp,"The image captures a woman running from:",(a) Back view (b) Side view,(b)
153,qc,"How many red apples are there in the image?",(a) One (b) More than one,(a)
154,qc,"How many red apples are there in the image?",(a) One (b) More than one,(b)
155,pr,"Is the vase beside the bedside table or on the windowsill?",(a) Beside the bedside Table (b) On the Windowsill,(a)
156,pr,"Is the vase beside the bedside table or on the windowsill?",(a) Beside the bedside Table (b) On the Windowsill,(b)
157,ca,"Is the frame at the front of the motorcycle primarily silver or black in color?",(a) Silver (b) Black,(a)
158,ca,"Is the frame at the front of the motorcycle primarily silver or black in color?",(a) Silver (b) Black,(b)
159,qc,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(a)
160,qc,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(b)
161,pr,"Is the minute hand of the clock closer to 12 or closer to 1?",(a) 12 (b) 1 ,(a)
162,pr,"Is the minute hand of the clock closer to 12 or closer to 1?",(a) 12 (b) 1 ,(b)
163,pr,"Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows?",(a) In front of a large window (b) In front of a wall between two windows,(a)
164,pr,"Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows?",(a) In front of a large window (b) In front of a wall between two windows,(b)
165,sh,"In this image, are the berries placed",(a) On a dish (b) In bowls of yogurts,(a)
166,sh,"In this image, are the berries placed",(a) On a dish (b) In bowls of yogurts,(b)
167,sc,"Are some fruits cut open or are all the fruits uncut?",(a) Some are cut open (b) All are uncut,(a)
168,sc,"Are some fruits cut open or are all the fruits uncut?",(a) Some are cut open (b) All are uncut,(b)
169,pf,"Is there a knee visible in the image?",(a) Yes (b) No,(a)
170,pf,"Is there a knee visible in the image?",(a) Yes (b) No,(b)
171,pf,"Does the snowman in the picture have a mouth?",(a) Yes (b) No,(a)
172,pf,"Does the snowman in the picture have a mouth?",(a) Yes (b) No,(b)
173,sh,"Is the decoration on the Easter egg flat or raised?",(a) Flat (b) Raised,(a)
174,sh,"Is the decoration on the Easter egg flat or raised?",(a) Flat (b) Raised,(b)
175,ca,"In the image, is the nail polish on the toes dark or light in color?",(a) Dark (b) Light,(a)
176,ca,"In the image, is the nail polish on the toes dark or light in color?",(a) Dark (b) Light,(b)
177,od,"In the picture, is the person facing the ocean or turned sideways to the ocean?",(a) Facing the ocean (b) Turned sideways to the ocean,(a)
178,od,"In the picture, is the person facing the ocean or turned sideways to the ocean?",(a) Facing the ocean (b) Turned sideways to the ocean,(b)
179,qc,"How many wheels can you see in the image?",(a) 1 (b) 2,(a)
180,qc,"How many wheels can you see in the image?",(a) 1 (b) 2,(b)
181,ca,"Is the stripe in the middle of the car blue or white?",(a) Blue (b) White,(a)
182,ca,"Is the stripe in the middle of the car blue or white?",(a) Blue (b) White,(b)
183,sc,"Are the teddy bears holding hands or leaning against each other?",(a) Holding hands (b) Leaning against,(a)
184,sc,"Are the teddy bears holding hands or leaning against each other?",(a) Holding hands (b) Leaning against,(b)
185,sc,"Is the person in the picture already standing on the weighing scale?",(a) Yes (b) No,(a)
186,sc,"Is the person in the picture already standing on the weighing scale?",(a) Yes (b) No,(b)
187,qc,"In the picture, is the person stretching out one arm or both arms above their head?",(a) One arm (b) Both arms,(a)
188,qc,"In the picture, is the person stretching out one arm or both arms above their head?",(a) One arm (b) Both arms,(b)
189,sh,"Is the person in the picture on the grass or on the gravel path?",(a) Grass (b) Gravel path,(a)
190,sh,"Is the person in the picture on the grass or on the gravel path?",(a) Grass (b) Gravel path,(b)
191,pf,"Is there a flower next to the Easter egg in the picture?",(a) Yes (b) No,(a)
192,pf,"Is there a flower next to the Easter egg in the picture?",(a) Yes (b) No,(b)
193,sh,"Are these vegetables placed on the floor or on the soil?",(a) Floor (b) Soil,(a)
194,sh,"Are these vegetables placed on the floor or on the soil?",(a) Floor (b) Soil,(b)
195,pr,"Are juice and all carrots on the same surface?",(a) Yes (b) No,(a)
196,pr,"Are juice and all carrots on the same surface?",(a) Yes (b) No,(b)
197,sc,"Is the person weighing themselves barefoot?",(a) Yes (b) No,(a)
198,sc,"Is the person weighing themselves barefoot?",(a) Yes (b) No,(b)
199,ca,"Which type of eggs are in the corner of the picture?",(a) Quail eggs (b) Chicken eggs ,(a)
200,ca,"Which type of eggs are in the corner of the picture?",(a) Quail eggs (b) Chicken eggs ,(b)
201,tx,"What are the words in the image:",(a) "Happy Easter" (b) "Happy Easter!",(a)
202,tx,"What are the words in the image:",(a) "Happy Easter" (b) "Happy Easter!",(b)
203,sc,"Are these oranges hanging on the tree?",(a) Yes (b) No,(a)
204,sc,"Are these oranges hanging on the tree?",(a) Yes (b) No,(b)
205,sh,"Is the coffee cup made of glass?",(a) Yes (b) No,(a)
206,sh,"Is the coffee cup made of glass?",(a) Yes (b) No,(b)
207,ca,"Is the bell pepper in the picture red or yellow?",(a) Red (b) Yellow,(a)
208,ca,"Is the bell pepper in the picture red or yellow?",(a) Red (b) Yellow,(b)
209,pf,"Is there an orange with leaves next to the cup?",(a) Yes (b) No,(a)
210,pf,"Is there an orange with leaves next to the cup?",(a) Yes (b) No,(b)
211,pr,"Is the heart-shaped object resting on the palm or being held by the fingers?",(a) Palm (b) Fingers,(a)
212,pr,"Is the heart-shaped object resting on the palm or being held by the fingers?",(a) Palm (b) Fingers,(b)
213,pf,"Does the snowman have arms made of branches?",(a) Yes (b) No,(a)
214,pf,"Does the snowman have arms made of branches?",(a) Yes (b) No,(b)
215,pf,"Are there black stripes on the roof of the car?",(a) Yes (b) No,(a)
216,pf,"Are there black stripes on the roof of the car?",(a) Yes (b) No,(b)
217,sc,"Is the knife laid flat or standing up?",(a) Flat (b) Standing up,(a)
218,sc,"Is the knife laid flat or standing up?",(a) Flat (b) Standing up,(b)
219,vp,"Is the person in the image running towards or away from the camera?",(a) Towards (b) Away from,(a)
220,vp,"Is the person in the image running towards or away from the camera?",(a) Towards (b) Away from,(b)
221,vp,"In the photo, is one of the man's hands blocked by the woman?",(a) Yes (b) No,(a)
222,vp,"In the photo, is one of the man's hands blocked by the woman?",(a) Yes (b) No,(b)
223,pf,"Is there a pomegranate in the picture?",(a) Yes (b) No,(a)
224,pf,"Is there a pomegranate in the picture?",(a) Yes (b) No,(b)
225,sh,"Are all the cups and bottles in the picture the same height?",(a) Yes (b) No,(a)
226,sh,"Are all the cups and bottles in the picture the same height?",(a) Yes (b) No,(b)
227,pf,"Does the person in the picture have something in their hand?",(a) Yes (b) No,(a)
228,pf,"Does the person in the picture have something in their hand?",(a) Yes (b) No,(b)
229,od,"Do all the bottles in the picture face the same direction?",(a) Yes (b) No,(a)
230,od,"Do all the bottles in the picture face the same direction?",(a) Yes (b) No,(b)
231,pr,"Are all easter eggs placed in a container (e.g nest, basket)?",(a) Yes (b) No,(a)
232,pr,"Are all easter eggs placed in a container (e.g nest, basket)?",(a) Yes (b) No,(b)
233,ca,"Is the sky in the background dark blue or light blue?",(a) Dark blue (b) Light blue,(a)
234,ca,"Is the sky in the background dark blue or light blue?",(a) Dark blue (b) Light blue,(b)
235,od,"Do the individuals in the picture face the front or the back?",(a) Front (b) Back,(a)
236,od,"Do the individuals in the picture face the front or the back?",(a) Front (b) Back,(b)
237,ca,"Is the ground completely covered by red fallen leaves?",(a) Yes (b) No,(a)
238,ca,"Is the ground completely covered by red fallen leaves?",(a) Yes (b) No,(b)
239,pr,"Are the leather shoes placed side by side or is one on top of the other?",(a) Side by side (b) One on top of the other,(a)
240,pr,"Are the leather shoes placed side by side or is one on top of the other?",(a) Side by side (b) One on top of the other,(b)
241,vp,"Is the photo taken directly above the coffee or from the side?",(a) Above (b) From the side,(a)
242,vp,"Is the photo taken directly above the coffee or from the side?",(a) Above (b) From the side,(b)
243,od,"Is the rabbit in the image facing left or right?",(a) Left (b) Right,(a)
244,od,"Is the rabbit in the image facing left or right?",(a) Left (b) Right,(b)
245,sc,"Is the elderly person in the picture standing or sitting?",(a) Standing (b) Sitting,(a)
246,sc,"Is the elderly person in the picture standing or sitting?",(a) Standing (b) Sitting,(b)
247,sh,"Are there any fruits or vegetables in the heart-shaped part of the picture?",(a) Yes (b) No,(a)
248,sh,"Are there any fruits or vegetables in the heart-shaped part of the picture?",(a) Yes (b) No,(b)
249,sh,"Is the very top of the cake strawberries or cream?",(a) Strawberries (b) Cream,(a)
250,sh,"Is the very top of the cake strawberries or cream?",(a) Strawberries (b) Cream,(b)
251,sh,"Is the beverage in the picture contained in a mug or a glass?",(a) Mug (b) Glass,(a)
252,sh,"Is the beverage in the picture contained in a mug or a glass?",(a) Mug (b) Glass,(b)
253,pf,"Is the design in the picture Santa Claus or a snowman?",(a) Santa Claus (b) Snowman,(a)
254,pf,"Is the design in the picture Santa Claus or a snowman?",(a) Santa Claus (b) Snowman,(b)
255,pr,"Are there cookies stacked on top of other cookies?",(a) Yes (b) No,(a)
256,pr,"Are there cookies stacked on top of other cookies?",(a) Yes (b) No,(b)
257,pr,"Is there a lemon inside the drink in the cup or are all the lemons outside the drink?",(a) There is one inside (b) All are outside,(a)
258,pr,"Is there a lemon inside the drink in the cup or are all the lemons outside the drink?",(a) There is one inside (b) All are outside,(b)
259,od,"In the picture, are the elderly people moving to the left or to the right?",(a) Left (b) Right,(a)
260,od,"In the picture, are the elderly people moving to the left or to the right?",(a) Left (b) Right,(b)
261,ca,"Is the person in the picture sitting on a black or white chair?",(a) Black (b) White,(a)
262,ca,"Is the person in the picture sitting on a black or white chair?",(a) Black (b) White,(b)
263,sc,"Is it a slice of cake or a whole cake in the picture?",(a) Slice (b) Whole,(a)
264,sc,"Is it a slice of cake or a whole cake in the picture?",(a) Slice (b) Whole,(b)
265,sc,"Is the shoe in the image tied or untied?",(a) Tied (b) Untied,(a)
266,sc,"Is the shoe in the image tied or untied?",(a) Tied (b) Untied,(b)
267,od,"Is the child in the picture facing forward or in profile?",(a) Facing forward (b) In profile,(a)
268,od,"Is the child in the picture facing forward or in profile?",(a) Facing forward (b) In profile,(b)
269,pf,"Is the wall behind the bed empty or is there a painting hanging on it?",(a) Empty (b) A painting hanging on it,(a)
270,pf,"Is the wall behind the bed empty or is there a painting hanging on it?",(a) Empty (b) A painting hanging on it,(b)
271,sh,"Is the male in the picture wearing a shirt or a T-shirt?",(a) Shirt (b) T-shirt,(a)
272,sh,"Is the male in the picture wearing a shirt or a T-shirt?",(a) Shirt (b) T-shirt,(b)
273,pf,"What pattern is in the picture?",(a) Pumpkin Lights (b) Bats,(a)
274,pf,"What pattern is in the picture?",(a) Pumpkin Lights (b) Bats,(b)
275,qc,"How many trees are the treehouse built on?",(a) One (b) More than one,(a)
276,qc,"How many trees are the treehouse built on?",(a) One (b) More than one,(b)
277,tx,"What are all the letter in the image?",(a) SUGAR (b) UGA,(a)
278,tx,"What are all the letter in the image?",(a) SUGAR (b) UGA,(b)
279,sc,"Is the elderly person standing or sitting in the picture?",(a) Standing (b) Sitting,(a)
280,sc,"Is the elderly person standing or sitting in the picture?",(a) Standing (b) Sitting,(b)
281,pf,"Are there drinks on the table?",(a) Yes (b) No,(a)
282,pf,"Are there drinks on the table?",(a) Yes (b) No,(b)
283,sh,"In the image, is it a salmon fillet or a salmon steak?",(a) Salmon fillet (b) Salmon steak,(a)
284,sh,"In the image, is it a salmon fillet or a salmon steak?",(a) Salmon fillet (b) Salmon steak,(b)
285,pf,"Do you see a yellow towel in the image?",(a) Yes (b) No,(a)
286,pf,"Do you see a yellow towel in the image?",(a) Yes (b) No,(b)
287,sc,"Is the cup placed on a surface or being held by hand?",(a) Placed on a surface (b) Held by hand,(a)
288,sc,"Is the cup placed on a surface or being held by hand?",(a) Placed on a surface (b) Held by hand,(b)
289,ca,"Is the following statement correct: There are different colors of grapes in the image.",(a) Correct (b) Incorrect,(a)
290,ca,"Is the following statement correct: There are different colors of grapes in the image.",(a) Correct (b) Incorrect,(b)
291,sc,"Is the minion in the image smiling with its tongue out?",(a) Yes (b) No,(a)
292,sc,"Is the minion in the image smiling with its tongue out?",(a) Yes (b) No,(b)
293,od,"Is the sports car in the picture facing left or right?",(a) Left (b) Right,(a)
294,od,"Is the sports car in the picture facing left or right?",(a) Left (b) Right,(b)
295,ca,"Is the edge of the heart in the picture white or dark-colored?",(a) White (b) Dark-colored,(a)
296,ca,"Is the edge of the heart in the picture white or dark-colored?",(a) White (b) Dark-colored,(b)
297,pf,"Are there patterns on the easter eggs?",(a) Yes (b) No,(a)
298,pf,"Are there patterns on the easter eggs?",(a) Yes (b) No,(b)
299,sc,"How would you describe the background of the image?",(a) Light shining through the clouds from the upper right corner (b) Most of the background is dark and cloudy,(a)
300,sc,"How would you describe the background of the image?",(a) Light shining through the clouds from the upper right corner (b) Most of the background is dark and cloudy,(b)
