ID ,Category,Question,Answer Choices,Answer,Implicit Prompt,Correct_im,Explicit Prompt,Correct_ex,Comments
15,pr,Is there a shadow on the flower?,(a) Yes (b) No,(a),generate a flower in natural lighting,Y,generate a sunflower with a distinct shadow cast across its petals,N,
16,pr,Is there a shadow on the flower?,(a) Yes (b) No,(b),generate a flower in natural lighting,Y,generate a sunflower in even lighting with no visible shadows,Y,
17,sh,Is the front of the school bus protruding?,(a) Yes (b) No,(a),generate a school bus,Y,generate a school bus with a distinctive protruding front nose section,Y,
18,sh,Is the front of the school bus protruding?,(a) Yes (b) No,(b),generate a school bus,Y,generate a school bus with a flat front design,N,
19,pf,Can you see the dorsal fin of the animal?,(a) Yes (b) No,(a),generate a marine animal,Y,generate a dolphin jumping out of water with its dorsal fin clearly visible,Y,
20,pf,Can you see the dorsal fin of the animal?,(a) Yes (b) No,(b),generate a marine animal,Y,generate a dolphin swimming underwater viewed from below with no dorsal fin visible,N,
21,pf,Is the duck's entire beak visible in the picture?,(a) Yes (b) No,(a),generate a duck,Y,generate a mallard duck swimming with its full beak clearly shown,Y,
22,pf,Is the duck's entire beak visible in the picture?,(a) Yes (b) No,(b),generate a duck,Y,generate a duck with its head turned so the beak is partially hidden,N,
23,vp,From which angle is this image taken?,(a) Front (b) Side,(a),generate a car,Y,generate a car photographed directly from the front view,Y,
24,vp,From which angle is this image taken?,(a) Front (b) Side,(b),generate a car,Y,generate a car photographed from the side profile view,Y,
25,ca,What color is the chicken's body?,(a) Black (b) Red,(a),generate a chicken in a farmyard,Y,generate a black-feathered chicken standing in a farmyard,Y,
26,ca,What color is the chicken's body?,(a) Black (b) Red,(b),generate a chicken in a farmyard,Y,generate a red-brown chicken standing in a farmyard,Y,
27,pf,Is the peacock's head visible in the image?,(a) Yes (b) No,(a),generate a peacock,Y,generate a peacock with its head clearly visible in the frame,Y,
28,pf,Is the peacock's head visible in the image?,(a) Yes (b) No,(b),generate a peacock,Y,generate a peacock photographed from behind with its head out of frame,N,
29,pf,"Based on the image, is the following statement correct: We cannot see the window on the school bus?",(a) Correct (b) Incorrect,(a),generate a school bus,Y,generate a school bus photographed from an angle where no windows are visible,N,
30,pf,"Based on the image, is the following statement correct: We cannot see the window on the school bus?",(a) Correct (b) Incorrect,(b),generate a school bus,Y,generate a school bus with multiple windows clearly visible on the side,Y,
31,sc,Is the wind blowing the flag?,(a) Yes (b) No,(a),generate a flag,Y,generate an American flag waving vigorously in strong wind,Y,
32,sc,Is the wind blowing the flag?,(a) Yes (b) No,(b),generate a flag,Y,generate an American flag hanging limp on a windless day,N,
33,pf,Is the butterfly's abdomen visible in the image?,(a) Yes (b) No,(a),generate a butterfly,Y,generate a butterfly on a flower with its body section clearly visible,Y,
34,pf,Is the butterfly's abdomen visible in the image?,(a) Yes (b) No,(b),generate a butterfly,Y,generate a butterfly photographed from above with wings covering the body,N,
35,pf,Do the vegetables have spikes?,(a) Yes (b) No,(a),generate vegetables,Y,generate fresh artichokes with their sharp spiky leaves prominently displayed,Y,
36,pf,Do the vegetables have spikes?,(a) Yes (b) No,(b),generate vegetables,Y,"generate smooth bell peppers arranged on a cutting board
",Y,
37,ca,What color are the flowers in the background?,(a) Pink (b) Violet,(a),generate a garden scene with flowers in the background,Y,generate a garden scene with pink roses blooming in the background,Y,
38,ca,What color are the flowers in the background?,(a) Pink (b) Violet,(b),generate a garden scene with flowers in the background,Y,generate a garden scene with violet lilacs blooming in the background,Y,
39,pr,Is the duck floating?,(a) Yes (b) No,(a),generate a duck near water,Y,generate a duck floating peacefully on a calm pond,Y,
40,pr,Is the duck floating?,(a) Yes (b) No,(b),generate a duck near water,Y,generate a duck standing on the shore beside a pond,Y,
41,qc,"Based on the image, is the following statement correct: The spider has 8 legs?",(a) Yes (b) No,(a),generate a spider,Y,generate a detailed close-up of a spider showing all eight legs clearly,Y,
42,qc,"Based on the image, is the following statement correct: The spider has 8 legs?",(a) Yes (b) No,(b),generate a spider,Y,generate a spider with some legs hidden behind its body or damaged,Y,
43,pf,Are the wheels of the school bus visible in the image?,(a) Yes (b) No,(a),generate a school bus,Y,generate a school bus photographed from the side showing its wheels,Y,
44,pf,Are the wheels of the school bus visible in the image?,(a) Yes (b) No,(b),generate a school bus,Y,generate a school bus photographed from above where wheels are not visible,N,
45,pf,Is the shark's belly visible in this image?,(a) Yes (b) No,(a),generate a shark,Y,generate a shark swimming upside down showing its white belly,Y,
46,pf,Is the shark's belly visible in this image?,(a) Yes (b) No,(b),generate a shark,Y,generate a shark swimming normally with only its top side visible,Y,
47,qc,How many spots are on the animal in the image?,(a) 5 (b) 6,(a),generate a spotted animal,Y,generate a leopard with exactly 5 distinct spots clearly visible,N,
48,qc,How many spots are on the animal in the image?,(a) 5 (b) 6,(b),generate a spotted animal,Y,generate a leopard with exactly 6 distinct spots clearly visible,N,
49,pf,Are the arrow keys visible in the image?,(a) Yes (b) No,(a),generate a computer keyboard,Y,generate a computer keyboard with the arrow keys clearly visible,N,
50,pf,Are the arrow keys visible in the image?,(a) Yes (b) No,(b),generate a computer keyboard,Y,generate a computer keyboard photographed from an angle hiding the arrow keys,Y,
51,sc,Is the elephant's trunk curled in the picture?,(a) Yes (b) No,(a),generate an elephant,Y,generate an elephant with its trunk curved upward in a curl,Y,
52,sc,Is the elephant's trunk curled in the picture?,(a) Yes (b) No,(b),generate an elephant,Y,generate an elephant with its trunk hanging straight down,N,
53,qc,Is the number of pills in the image countable?,(a) Yes (b) No,(a),generate pills,Y,generate a small bottle with about 10-15 pills spilled out for easy counting,Y,
54,qc,Is the number of pills in the image countable?,(a) Yes (b) No,(b),generate pills,Y,generate hundreds of pills scattered everywhere making counting impossible,N,
55,pf,Can you see stems of bananas in the image?,(a) Yes (b) No,(a),generate bananas,Y,generate a bunch of bananas with the stems clearly visible at the top,Y,
56,pf,Can you see stems of bananas in the image?,(a) Yes (b) No,(b),generate bananas,Y,generate individual peeled bananas with no stems visible,Y,
57,pr,Is the crocodile submerged in the water?,(a) Yes (b) No,(a),generate a crocodile near water,Y,generate a crocodile mostly underwater with only eyes and nostrils showing,N,
58,pr,Is the crocodile submerged in the water?,(a) Yes (b) No,(b),generate a crocodile near water,Y,generate a crocodile sunbathing on a riverbank completely out of water,Y,
59,sc,Is the lock locked to the chain-linked fence?,(a) Yes (b) No,(a),generate a lock and fence,Y,generate a padlock securely attached and locked to a chain-link fence,Y,
60,sc,Is the lock locked to the chain-linked fence?,(a) Yes (b) No,(b),generate a lock and fence,Y,generate an open padlock hanging loose from a chain-link fence,N,
61,tx,"Can you see letter ""J"" in the image?",(a) Yes (b) No,(a),generate a computer keyboard,Y,generate a computer keyboard with the J key prominently visible,N,
62,tx,"Can you see letter ""J"" in the image?",(a) Yes (b) No,(b),generate a computer keyboard,Y,generate a computer keyboard photographed from an angle where J key is obscured,Y,
63,pr,"Is the following statement correct: In the image,there is one daisy that is under the shadow of a taller daisy.",(a) Correct (b) Incorrect,(a),generate daisies,Y,generate a field of daisies with one small daisy clearly in the shadow of a taller one,Y,
64,pr,"Is the following statement correct: In the image, there is one daisy that is under the shadow of a taller daisy.",(a) Correct (b) Incorrect,(a),generate daisies,Y,generate a field of daisies all receiving equal sunlight with no shadows,N,
65,tx,Is the following statement correct: There is no letter D on this image.,(a) Correct (b) Incorrect,(a),generate a computer keyboard,Y,generate a computer keyboard photographed so the D key is not visible,Y,
66,tx,Is the following statement correct: There is no letter D on this image.,(a) Correct (b) Incorrect,(b),generate a computer keyboard,Y,generate a computer keyboard with the D key clearly visible,N,
67,pf,Are there any clouds?,(a) Yes (b) No,(a),generate a sky,Y,generate a blue sky filled with white fluffy clouds,Y,
68,pf,Are there any clouds?,(a) Yes (b) No,(b),generate a sky,Y,generate a completely clear blue sky with no clouds visible,Y,
69,sc,Did the snake stick out its tongue and touch its skin?,(a) Yes (b) No,(a),generate a snake,Y,generate a snake with its forked tongue extended and touching its own body,N,
70,sc,Did the snake stick out its tongue and touch its skin?,(a) Yes (b) No,(b),generate a snake,Y,generate a snake with its mouth closed and tongue not visible,N,
71,sc,Is the lock locked or unlocked?,(a) Locked (b) Unlocked,(a),generate a padlock,Y,generate a padlock in the locked position with shackle secured,Y,
72,sc,Is the lock locked or unlocked?,(a) Locked (b) Unlocked,(b),generate a padlock,Y,generate a padlock in the open position with shackle released,N,
73,sc,Is the ground wet?,(a) Yes (b) No,(a),generate ground surface,Y,generate a wet pavement with puddles and reflections after rain,Y,
74,sc,Is the ground wet?,(a) Yes (b) No,(b),generate ground surface,Y,generate dry ground with dusty soil and no moisture visible,Y,
75,vp,Do you see this flower from the top or the side?,(a) Top (b) Side,(a),generate a flower,Y,generate a flower photographed from directly above showing the center,Y,
76,vp,Do you see this flower from the top or the side?,(a) Top (b) Side,(b),generate a flower,Y,generate a flower photographed from the side showing the profile view,Y,
77,pf,Can you see the caudal fin of the shark in the image?,(a) Yes (b) No,(a),generate a shark,Y,generate a shark swimming with its tail fin prominently visible,Y,
78,pf,Can you see the caudal fin of the shark in the image?,(a) Yes (b) No,(b),generate a shark,Y,generate a shark photographed from the front where the tail fin is not visible,N,
79,od,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(a),generate a snake,Y,generate a snake with its head raised and pointed upward,Y,
80,od,"In the image, is the snake's head oriented facing upwards or directed forwards?",(a) Upwards (b) Forward,(b),generate a snake,Y,generate a snake with its head facing forward horizontally,Y,
81,ca,Is this a hammerhead shark?,(a) Yes (b) No,(a),generate a shark,Y,generate a hammerhead shark with its distinctive flattened head shape,N,
82,ca,Is this a hammerhead shark?,(a) Yes (b) No,(b),generate a shark,Y,generate a great white shark with a normal pointed head,N,
83,sc,Is the door of the truck cab open?,(a) Yes (b) No,(a),generate a truck,Y,generate a truck with the driver's door open,N,
84,sc,Is the door of the truck cab open?,(a) Yes (b) No,(b),generate a truck,Y,generate a truck with all doors closed,Y,
85,sh,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(a),generate a dog,Y,generate a dog with pointed upright ears like a German Shepherd,Y,
86,sh,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(b),generate a dog,Y,generate a dog with floppy drooping ears like a Basset Hound,Y,
87,pf,Is there a hand using the mouse in the image?,(a) Yes (b) No,(a),generate a computer mouse,Y,generate a computer mouse being actively used by a hand,N,
88,pf,Is there a hand using the mouse in the image?,(a) Yes (b) No,(b),generate a computer mouse,N,generate a computer mouse sitting alone on a desk,Y,
89,pf,Can you see people in this image?,(a) Yes (b) No,(a),generate a scene,Y,generate a busy street scene with people walking,Y,
90,pf,Can you see people in this image?,(a) Yes (b) No,(b),generate a scene,Y,generate an empty landscape with no people visible,Y,
91,tx,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(a),generate a police vehicle,Y,"generate a police car with ""POLICE"" text clearly visible on the lightbar",N,
92,tx,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(b),generate a police vehicle,Y,generate a police car with a plain lightbar containing no text,Y,
93,pf,Is there any accessory on the wrists?,(a) Yes (b) No,(a),generate hands and wrists,Y,generate hands with a watch or bracelet visible on the wrist,Y,
94,pf,Is there any accessory on the wrists?,(a) Yes (b) No,(b),generate hands and wrists,Y,generate bare hands and wrists with no jewelry or accessories,N,
95,pr,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(a),generate a spider web,Y,generate a spider web with many thick intersecting strands creating a dense pattern,N,
96,pr,"3From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(b),generate a spider web,Y,generate a spider web with few thin strands creating an open sparse pattern,N,
97,pf,Does the keyboard have a backlight?,(a) Yes (b) No,(a),generate a computer keyboard,Y,generate a computer keyboard with illuminated backlit keys glowing,N,
98,pf,Does the keyboard have a backlight?,(a) Yes (b) No,(b),generate a computer keyboard,Y,generate a standard computer keyboard with no lighting,N,
99,sh,Does the elephant have long or short tusks?,(a) Long (b) Short,(a),generate an elephant,Y,generate an elephant with prominently long curved tusks,N,
100,sh,Does the elephant have long or short tusks?,(a) Long (b) Short,(b),generate an elephant,Y,generate an elephant with small short tusks or no visible tusks,Y,
101,sc,What is the woman more likely to do?,(a) Bump (b) Set,(a),generate a woman with a volleyball,Y,generate a woman in mid-motion bumping a volleyball upward with her forearms,Y,
102,sc,What is the woman more likely to do?,(a) Bump (b) Set,(b),generate a woman with a volleyball,Y,generate a woman positioned to set a volleyball with her hands above her head,Y,
103,od,Is the needle pointing up or down?,(a) Up (b) Down,(a),generate a compass or gauge,Y,generate a compass with the needle pointing upward,Y,
104,od,Is the needle pointing up or down?,(a) Up (b) Down,(b),generate a compass or gauge,Y,generate a compass with the needle pointing downward,N,
105,vp,Is the camera positioned at eye level or looking down from above?,(a) Eye level (b) Above,(a),generate a subject photographed,Y,generate a subject photographed straight-on at eye level,Y,
106,vp,Is the camera positioned at eye level or looking down from above?,(a) Eye level (b) Above,(b),generate a subject photographed,Y,generate a subject photographed from an overhead bird's eye view,Y,
107,pf,Are the butterfly's feet visible?,(a) Yes (b) No,(a),generate a butterfly,Y,generate a butterfly perched on a surface with its legs clearly visible,Y,
108,pf,Are the butterfly's feet visible?,(a) Yes (b) No,(b),generate a butterfly,Y,generate a butterfly in flight with legs tucked under and not visible,N,
109,sc,Are the bird's wings flapping upward or downward?,(a) Upward (b) Downward,(a),generate a bird in flight,Y,generate a bird with wings in the upward stroke of flight,Y,
110,sc,Are the bird's wings flapping upward or downward?,(a) Upward (b) Downward,(b),generate a bird in flight,Y,generate a bird with wings in the downward stroke of flight,N,
111,od,Is the end of the elephant's trunk pointing inward or outward?,(a) Inward (b) Outward,(a),generate an elephant,Y,generate an elephant with its trunk curled inward toward its body,Y,
112,od,Is the end of the elephant's trunk pointing inward or outward?,(a) Inward (b) Outward,(b),generate an elephant,Y,generate an elephant with its trunk extended outward away from its body,N,
113,pf,Do you see any window in this image?,(a) Yes (b) No,(a),generate an architectural scene,Y,generate a building facade with windows clearly visible,Y,
114,pf,Do you see any window in this image?,(a) Yes (b) No,(b),generate an architectural scene,Y,generate a solid wall or structure with no windows visible,Y,
115,od,Is the snail in the picture facing the camera or away from the camera?,(a) Away from the camera (b) Facing the camera,(a),Generate a snail on the ground with a shell,Y,Generate a snail on the ground with a shell and facing away from the camera,Y,
116,od,Is the snail in the picture facing the camera or away from the camera?,(a) Away from the camera (b) Facing the camera,(b),Generate a snail on the ground with a shell,Y,Generate a snail on the ground with a shell and facing towards the camera,Y,
117,qc,How many eyes of the cat can you see in the picture?,(a) 1 (b) 2,(a),Generate a gray and black striped cat looking to the side,Y,Generate a gray and black striped cat looking to the side with only one eye visible,N,
118,qc,How many eyes of the cat can you see in the picture?,(a) 1 (b) 2,(b),Generate a gray and black striped cat looking to the side,Y,Generate a gray and black striped cat looking to the side with both eyes visible,Y,
119,qc,"In this image, how many eyes can you see on the animal?",(a) 1 (b) 2,(a),Generate an eagle outside,Y,Generate an eagle outside looking to the side with only one eye visible,N,
120,qc,"In this image, how many eyes can you see on the animal?",(a) 1 (b) 2,(b),Generate an eagle outside,Y,Generate an eagle outside looking towards the camera with both eyes visible,Y,
121,ca,Does this corn have white kernels?,(a) Yes (b) No,(a),Generate a corn on the cob,Y,Generate a corn on the cob with white kernels,N,
122,ca,Does this corn have white kernels?,(a) Yes (b) No,(b),Generate a corn on the cob,Y,Generate a corn on the cob with only yellow kernels and no white kernels,Y,
123,vp,Is this duck facing left or right from the camera's perspective?,(a) Left (b) Right,(a),Generate a duck outside next to the water,Y,Generate a duck outside next to the water and facing to the left in the camera’s perspective,Y,
124,vp,Is this duck facing left or right from the camera's perspective?,(a) Left (b) Right,(b),Generate a duck outside next to the water,Y,Generate a duck outside next to the water and facing to the right in the camera’s perspective,Y,
125,pf,Can you see a door in this image?,(a) Yes (b) No,(a),Generate a picture of a movie theater seen from the back of the room,Y,Generate a picture of a movie theater seen from the back of the room and a door visible,N,
126,pf,Can you see a door in this image?,(a) Yes (b) No,(b),Generate a picture of a movie theater seen from the back of the room,Y,Generate a picture of a movie theater seen from the back of the room and no doors visible,Y,
127,sc,Is the flower's center protruding or indented?,(a) Protruding (b) Indented,(a),Generate a white flower with a yellow middle outside in the grass,Y,Generate a white flower with a yellow protruding middle outside in the grass,Y,
128,sc,Is the flower's center protruding or indented?,(a) Protruding (b) Indented,(b),Generate a white flower with a yellow middle outside in the grass,Y,Generate a white flower with a yellow indented middle outside in the grass,N,
129,od,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle?",(a) Directly towards the camera (b) At an angle,(a),Generate multiple school busses ordered one after another,N,Generate multiple school busses ordered one after another with the words “SCHOOL BUS” facing directly towards the camera,Y,
130,od,"From the camera's perspective, are the words ""SCHOOL BUS"" in the picture facing straight or oriented at an angle?",(a) Directly towards the camera (b) At an angle,(b),Generate multiple school busses ordered one after another,Y,Generate multiple school busses ordered one after another with the words “SCHOOL BUS” oriented at an angle,Y,
131,pr,Where is the yellow animal's head lying in this image?,(a) Floor (b) Carpet,(a),Generate a golden dog laying on the ground with a black dog next to it,Y,Generate a golden dog laying on the ground with its head resting on the floor beside a carpet and a black dog,N,
132,pr,Where is the yellow animal's head lying in this image?,(a) Floor (b) Carpet,(b),Generate a golden dog laying on the ground with a black dog next to it,Y,Generate a golden dog laying on the ground with its head resting on the carpet beside the floor and a black dog,Y,
133,tx,What does the center button say?,(a) OK/SELECT (b) OK,(a),Generate a tv remote with arrow buttons and a center button with text,Y,Generate a tv remote with arrow buttons and the word “OK/SELECT” on the center button,N,
134,tx,What does the center button say?,(a) OK/SELECT (b) OK,(b),Generate a tv remote with arrow buttons and a center button with text,Y,Generate a tv remote with arrow buttons and the word “OK” on the center button,N,
135,qc,How many cup(s) of drink are there in the image?,(a) 1 (b) 2,(a),Generate a glass of wine filled halfway,Y,Generate a singular glass of wine filled halfway with no other glasses in the picture,N,
136,qc,How many cup(s) of drink are there in the image?,(a) 1 (b) 2,(b),Generate a glass of wine filled halfway,Y,Generate 2 glasses of wine filled halfway with one blurred in the background,Y,
137,sc,"In the picture, how is the snake primarily positioned?",(a) Coiled (b) Head extended,(a),Generate a green snake,Y,Generate a green snake coiled as its primary position,Y,
138,sc,"In the picture, how is the snake primarily positioned?",(a) Coiled (b) Head extended,(b),Generate a green snake,Y,Generate a green snake with its heat extended as its primary position,Y,
139,pf,Can you see the side windows of the vehicles?,(a) Yes (b) No,(a),Generate a truck outside on the road,Y,Generate a truck outside on the road with the side windows of the vehicle visible,Y,
140,pf,Can you see the side windows of the vehicles?,(a) Yes (b) No,(b),Generate a truck outside on the road,Y,Generate a truck outside on the road with only the windshield of the truck visible and no side windows,Y,
141,sc,Is the elephant's trunk raised or lowered?,(a) Raised (b) Lowered,(a),Generate a gray elephant in a grassland,Y,Generate a gray elephant in a grassland with its trunk raised,N,
142,sc,Is the elephant's trunk raised or lowered?,(a) Raised (b) Lowered,(b),Generate a gray elephant in a grassland,Y,Generate a gray elephant in a grassland with its trunk lowered,Y,
143,od,Is the ladybug positioned upright or upside down?,(a) Upright (b) Upside down,(a),Generate a ladybug on a branch,Y,Generate a ladybug on a branch positioned upright,Y,
144,od,Is the ladybug positioned upright or upside down?,(a) Upright (b) Upside down,(b),Generate a ladybug on a branch,Y,Generate a ladybug on a branch positioned upside down,N,
145,vp,Is the photo taken looking down from above or looking up from below?,(a) Looking down from above (b) Looking up from below,(a),Generate a photo of a half-filled wine glass,Y,Generate a photo of a half-filled wine glass taken from above looking down,N,
146,vp,Is the photo taken looking down from above or looking up from below?,(a) Looking down from above (b) Looking up from below,(b),Generate a photo of a half-filled wine glass,Y,Generate a photo of a half-filled wine glass taken from below looking up,N,
147,pf,"In the picture, is the snake's head visible or not visible?",(a) Visible (b) Not visible,(a),Generate a snake on the desert ground,Y,Generate a snake on the desert ground with its head visible,N,
148,pf,"In the picture, is the snake's head visible or not visible?",(a) Visible (b) Not visible,(b),Generate a snake on the desert ground,Y,Generate a snake on the desert ground with its head not visible,Y,
149,pr,Is the piano's back panel on the left or right side?,(a) Left (b) Right,(a),Generate a piano with side viewpoint of the piano keys,Y,Generate a piano with a side viewpoint of the piano keys and the piano back panel on the left,Y,
150,pr,Is the piano's back panel on the left or right side?,(a) Left (b) Right,(b),Generate a piano with side viewpoint of the piano keys,Y,Generate a piano with a side viewpoint of the piano keys and the piano back panel on the right,N,
151,vp,The image captures a woman running from:,(a) Back view (b) Side view,(a),A woman running on a path during the sunset,Y,A woman running on a path during the sunset seen from behind,Y,
152,vp,The image captures a woman running from:,(a) Back view (b) Side view,(b),A woman running  on a path during the sunset,Y,A woman running on a path during the sunset seen from the side,N,
153,qc,How many red apples are there in the image?,(a) One (b) More than one,(a),Generate a bowl with fruits and vegetables including at least one apple,Y,Generate a single red apple surrounded by other fruits and vegetables,N,
154,qc,How many red apples are there in the image?,(a) One (b) More than one,(b),Generate a bowl with fruits and vegetables including at least one apple,Y,Generate multiple red apples surrounded by other fruits and vegetables,Y,
155,pr,Is the vase beside the bedside table or on the windowsill?,(a) Beside the bedside Table (b) On the Windowsill,(a),Generate a pink children’s bedroom with a vase,N,Generate a pink children’s bedroom with a vase right next to the bedside table,N,
156,pr,Is the vase beside the bedside table or on the windowsill?,(a) Beside the bedside Table (b) On the Windowsill,(a),Generate a pink children’s bedroom with a vase,N,Generate a pink children’s bedroom with a vase on the window sill,N,
157,ca,Is the frame at the front of the motorcycle primarily silver or black in color?,(a) Silver (b) Black,(a),Generate a motorcycle with red accents in a white background,Y,Generate a motorcycle with red accents and a primarily silver frame in  a white background,Y,
158,ca,Is the frame at the front of the motorcycle primarily silver or black in color?,(a) Silver (b) Black,(b),Generate a motorcycle with red accents in a white background,Y,Generate a motorcycle with red accents and a primarily black frame in a white background,Y,
159,qc,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(a),Generate a person operating a machine in a factory,Y,Generate a person operating a machine in a factory with only one arm shown,N,
160,qc,"For the people operating the machine in the image, can you see one arm or both arms?",(a) One arm (b) Both arms,(b),Generate a person operating a machine in a factory,Y,Generate a person operating a machine in a factory with both arms seen,N,
161,pr,Is the minute hand of the clock closer to 12 or closer to 1?,(a) 12 (b) 1,(a),Generate a clock on a plate,Y,Generate a clock on a plate with the minute hand of the clock closer to 12,Y,
162,pr,Is the minute hand of the clock closer to 12 or closer to 1?,(a) 12 (b) 1,(b),Generate a clock on a plate,Y,Generate a clock on a plate with the minute hand of the clock closer to 1,N,
163,pr,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows?,(a) In front of a large window (b) In front of a wall between two windows,(a),Generate a decorated christmas tree in a house with presents underneath,Y,Generate a decorated christmas tree in a house in front of a large window with presents underneath,Y,
164,pr,Is the Christmas tree positioned in front of a large window or in front of a wall situated between two windows?,(a) In front of a large window (b) In front of a wall between two windows,(b),Generate a decorated christmas tree in a house with presents underneath,Y,Generate a decorated christmas tree in a house in between two windows with presents underneath,N,
165,sh,"In this image, are the berries placed",(a) On a dish (b) In bowls of yogurts,(a),Generate berries on a breakfast table,Y,Generate berries on a breakfast table with the berries on a separate dish,Y,
166,sh,"In this image, are the berries placed",(a) On a dish (b) In bowls of yogurts,(b),Generate berries on a breakfast table,Y,Generate berries on a breakfast table with the berries on bowls of yogurt,Y,
167,sc,Are some fruits cut open or are all the fruits uncut?,(a) Some are cut open (b) All are uncut,(a),Generate a display of fruit in a white background,Y,Generate a display of fruit in a white background with some of the fruit cut open,Y,
168,sc,Are some fruits cut open or are all the fruits uncut?,(a) Some are cut open (b) All are uncut,(b),Generate a display of fruit in a white background,Y,Generate a display of fruit in a white background with none of the fruit cut open,N,
169,pf,Is there a knee visible in the image?,(a) Yes (b) No,(a),Generate an elderly couple holding hands and posing for a picture,N,Generate an elderly couple holding hands and posing for a picture with one of their knees visible,N,
170,pf,Is there a knee visible in the image?,(a) Yes (b) No,(b),Generate an elderly couple holding hands and posing for a picture,Y,Generate an elderly couple holding hands and posing for a picture with no knees in the picture,Y,
171,pf,Does the snowman in the picture have a mouth?,(a) Yes (b) No,(a),Generate a traditional snowman,Y,Generate a traditional snowman with a mouth,Y,
172,pf,Does the snowman in the picture have a mouth?,(a) Yes (b) No,(b),Generate a traditional snowman,Y,Generate a traditional snowman without a mouth,N,
173,sh,Is the decoration on the Easter egg flat or raised?,(a) Flat (b) Raised,(a),Generate a couple of multicolored and decorated easter eggs,Y,Generate a couple of multicolored and decorated easter eggs with flat and smoothly painted designs,Y,
174,sh,Is the decoration on the Easter egg flat or raised?,(a) Flat (b) Raised,(b),Generate a couple of multicolored and decorated easter eggs,Y,Generate a couple of multicolored and decorated easter eggs with raised painted designs,N,
175,ca,"In the image, is the nail polish on the toes dark or light in color?",(a) Dark (b) Light,(a),Generate a person on a weighing scale with their toes painted,Y,Generate a person on a weighing scale with their toes painted a dark color,Y,
176,ca,"In the image, is the nail polish on the toes dark or light in color?",(a) Dark (b) Light,(b),Generate a person on a weighing scale with their toes painted,Y,Generate a person on a weighing scale with their toes painted a light color,Y,
177,od,"In the picture, is the person facing the ocean or turned sideways to the ocean?",(a) Facing the ocean (b) Turned sideways to the ocean,(a),Generate a family of four on the beach,Y,Generate a family of four on the beach facing towards the ocean,Y,
178,od,"In the picture, is the person facing the ocean or turned sideways to the ocean?",(a) Facing the ocean (b) Turned sideways to the ocean,(b),Generate a family of four on the beach,N,Generate a family of four on the beach turned sideways to the ocean,N,
